Corvisart;Place d'Italie;0.507
Place d'Italie;Nationale;0.507
Nationale;Chevaleret;0.507
Chevaleret;Quai de la Gare;0.507
Quai de la Gare;Bercy;0.507
Bercy;Dugommier;0.507
Dugommier;Daumesnil;0.507
Daumesnil;Bel-Air;0.507
Bel-Air;Picpus;0.507
Picpus;Nation;0.507
La Courneuve - 8 Mai 1945;Fort d'Aubervilliers;0.703
Fort d'Aubervilliers;Aubervilliers - Pantin - Quatre Chemins;0.703
Aubervilliers - Pantin - Quatre Chemins;Porte de la Villette;0.703
Porte de la Villette;Corentin Cariou;0.703
Corentin Cariou;Crimee;0.703
Crimee;Riquet;0.703
Riquet;Stalingrad;0.703
Stalingrad;Louis Blanc;0.703
Louis Blanc;Chateau-Landon;0.703
Chateau-Landon;Gare de l'Est;0.703
Gare de l'Est;Poissonniere;0.703
Poissonniere;Cadet;0.703
Cadet;Le Peletier;0.703
Le Peletier;Chaussee d'Antin - La Fayette;0.703
Chaussee d'Antin - La Fayette;Opera;0.703
Opera;Pyramides;0.703
Pyramides;Palais Royal-Musee du Louvre;0.703
Palais Royal-Musee du Louvre;Pont Neuf;0.703
Pont Neuf;Chatelet;0.703
Chatelet;Pont Marie;0.703
Pont Marie;Sully - Morland;0.703
Sully - Morland;Jussieu;0.703
Jussieu;Place Monge;0.703
Place Monge;Censier - Daubenton;0.703
Censier - Daubenton;Les Gobelins;0.703
Les Gobelins;Place d'Italie;0.703
Place d'Italie;Tolbiac;0.703
Tolbiac;Maison Blanche;0.703
Maison Blanche;Le Kremlin-Bicetre;0.703
Le Kremlin-Bicetre;Villejuif - Leo Lagrange;0.703
Villejuif - Leo Lagrange;Villejuif - Paul Vaillant-Couturier;0.703
Villejuif - Paul Vaillant-Couturier;Villejuif - Louis Aragon;0.703
Louis Blanc;Jaures;0.387
Jaures;Bolivar;0.387
Bolivar;Buttes Chaumont;0.387
Buttes Chaumont;Botzaris;0.387
Botzaris;Place des Fetes;0.387
Place des Fetes;Pre Saint-Gervais;0.387
Pre Saint-Gervais;Danube;0.387
Danube;Botzaris;0.387
Balard;Lourmel;0.632
Lourmel;Boucicaut;0.632
Boucicaut;Felix Faure;0.632
Felix Faure;Commerce;0.632
Commerce;La Motte Picquet-Grenelle;0.632
La Motte Picquet-Grenelle;ecole Militaire;0.632
ecole Militaire;La Tour-Maubourg;0.632
La Tour-Maubourg;Invalides;0.632
Invalides;Concorde;0.632
Concorde;Madeleine;0.632
Madeleine;Opera;0.632
Opera;Richelieu - Drouot;0.632
Richelieu - Drouot;Grands Boulevards;0.632
Grands Boulevards;Bonne Nouvelle;0.632
Bonne Nouvelle;Strasbourg Saint-Denis;0.632
Strasbourg Saint-Denis;Republique;0.632
Republique;Filles du Calvaire;0.632
Filles du Calvaire;Saint-Sebastien - Froissart;0.632
Saint-Sebastien - Froissart;Chemin Vert;0.632
